znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Volkswagen,Touran,190000,2014,Ojeté,262223,Nafta,103,Automatická
Ford,Mondeo,149000,2013,Ojeté,241000,Nafta,147,Automatická
Mercedes-Benz,GLC,1699000,2025,Ojeté,9500,Nafta,270,Automatická
Audi,A6,1438000,2024,Ojeté,8600,Nafta,253,Automatická
BMW,X7,2348000,2024,Ojeté,29500,Nafta,250,Automatická
BMW,Řada 7,2349000,2024,Ojeté,26200,Nafta,220,Automatická
Toyota,Corolla,415000,2020,Ojeté,148000,Hybridní,90,Automatická
Volkswagen,Golf,220000,2016,Ojeté,127700,Nafta,81,Automatická
BMW,X6,2148000,2024,Ojeté,19900,Benzín,280,
Volkswagen,Tayron,1449000,2026,Ojeté,10,Nafta,142,Automatická
Ford,Ranger,399000,2016,Ojeté,181570,Nafta,147,Automatická
Land Rover,Range Rover Sport,699000,2016,Ojeté,160000,Nafta,250,
Škoda,Kodiaq,699000,2021,Ojeté,149000,Nafta,147,Automatická
BMW,Řada 3,324900,2015,Ojeté,185000,Nafta,135,Automatická
Škoda,Enyaq iV,799900,2024,Ojeté,87000,Elektro,195,Automatická
Porsche,Cayenne,3338000,2025,Ojeté,13000,Benzín,349,Automatická
Audi,A6,489000,2020,Ojeté,192300,Nafta,150,Automatická
Kia,Sportage,777980,2026,Nové,1,Benzín,110,Automatická
Škoda,Scala,319900,2023,Ojeté,145000,Benzín,70,Manuální
Dodge,Ram,1039000,2019,Ojeté,158000,LPG + benzín,295,Automatická
Renault,Twingo,270000,2022,Ojeté,4250,Elektro,60,Automatická
BMW,X6,2048000,2025,Ojeté,37000,Nafta,210,Automatická
Škoda,Kodiaq,928000,2024,Ojeté,49490,Nafta,147,Automatická
Mercedes-Benz,Třídy G,3598000,2021,Ojeté,70000,Benzín,430,Automatická
Audi,S6,1438000,2024,Ojeté,8600,Nafta,253,Automatická
Ford,Ranger,1860012,2025,Nové,0,Benzín,215,Automatická
Volvo,EX30,1029000,2026,Ojeté,3000,Elektro,315,Automatická
Volvo,V90,619000,2019,Ojeté,170831,Benzín,184,Automatická
Mercedes-Benz,Třídy G,2725796,2021,Ojeté,106111,Nafta,210,Automatická
Audi,S6,1350000,2023,Ojeté,27800,Nafta,253,Automatická
Ford,Ranger,1725823,2025,Nové,0,Benzín,215,Automatická
Ford,Mustang,1881760,2025,Nové,10,Benzín,334,Automatická
Škoda,Kodiaq,939000,2024,Ojeté,55000,Nafta,147,Automatická
Audi,A6,1348000,2023,Ojeté,27800,Nafta,253,Automatická
BMW,iX,1648000,2025,Ojeté,9000,Elektro,385,Automatická
Volkswagen,Touran,35000,2009,Ojeté,280000,CNG + benzín,110,Manuální
Porsche,911,5150000,2025,Ojeté,5990,Benzín,398,Automatická
Volkswagen,Passat,165000,2010,Ojeté,162000,Benzín,90,Manuální
BMW,iX,1738000,2025,Ojeté,4900,Elektro,385,Automatická
Ford,Ranger,1430994,2026,Nové,0,Nafta,151,Automatická
Ford,Tourneo Custom,1563683,2026,Nové,0,Nafta,125,Automatická
Ford,Ranger,1567676,2026,Nové,0,Nafta,176,Automatická
Ford,Ranger,941380,2026,Nové,0,Nafta,125,Manuální
Ford,Kuga,664900,2026,Nové,10,Benzín,110,Manuální
Ford,Ranger,941380,2026,Nové,0,Nafta,125,Manuální
Ford,Ranger,984383,2026,Nové,0,Nafta,125,Manuální
Ford,Ranger,1470150,2026,Nové,0,Hybridní,207,Automatická
Ford,Ranger,1534280,2026,Nové,0,Nafta,176,Automatická
Ford,Tourneo Custom,1580018,2026,Nové,0,Nafta,125,Automatická
Ford,Ranger,1430994,2026,Nové,0,Nafta,151,Automatická
Ford,Tourneo Custom,1237951,2026,Nové,0,Nafta,110,Manuální
